Rank,State,County-equivalent,Per capita,Median,Median,Population,Number of
,,,income,household,family,,households
,,,,income,income,,
72,Alaska,Juneau,"$37,558 ","$81,490 ","$95,112 ","31,897","12,099"
73,Minnesota,Hennepin,"$37,485 ","$64,403 ","$84,559 ","1,170,623","481,263"
74,Indiana,Boone,"$37,482 ","$67,255 ","$80,907 ","58,009","21,908"
75,Pennsylvania,Bucks,"$37,466 ","$76,555 ","$92,907 ","625,977","230,366"
76,New Jersey,Mercer,"$37,465 ","$73,480 ","$94,267 ","368,094","130,754"
77,Minnesota,Carver,"$37,457 ","$83,773 ","$96,913 ","92,770","33,486"
78,Colorado,Broomfield,"$37,442 ","$77,998 ","$96,787 ","57,171","22,016"
79,Virginia,Prince William,"$37,401 ","$98,071 ","$106,544 ","416,668","132,442"
80,Maryland,Charles,"$37,277 ","$93,160 ","$104,078 ","148,957","51,247"
81,Virginia,Albemarle,"$37,239 ","$67,725 ","$89,889 ","100,636","37,964"
82,Alaska,Skagway,"$37,139 ","$71,667 ","$77,500 ","1,080",412
83,Alaska,Bristol Bay,"$37,024 ","$79,531 ","$96,458 ",933,384
84,Rhode Island,Washington County,"$37,023 ","$72,138 ","$91,532 ","126,627","49,430"
85,New York,Suffolk,"$36,945 ","$87,763 ","$100,652 ","1,495,803","497,347"
86,Maryland,Frederick,"$36,917 ","$84,570 ","$98,259 ","236,668","86,337"
87,Florida,St. Johns,"$36,836 ","$64,876 ","$80,707 ","197,115","75,558"
88,New Jersey,Burlington,"$36,835 ","$78,446 ","$94,324 ","449,964","164,979"
89,Georgia,Fulton,"$36,757 ","$56,857 ","$75,658 ","948,554","368,184"
90,Minnesota,Washington County,"$36,706 ","$81,540 ","$94,263 ","241,315","88,947"
91,Virginia,Stafford,"$36,574 ","$97,110 ","$106,322 ","131,885","42,178"
92,Virginia,Rappahannock,"$36,505 ","$56,438 ","$66,773 ","7,448","3,261"
93,Michigan,Oakland,"$36,458 ","$65,594 ","$84,182 ","1,213,406","486,332"
94,Florida,Collier,"$36,439 ","$55,843 ","$65,980 ","328,209","122,972"
95,Virginia,York,"$36,373 ","$82,073 ","$95,392 ","65,762","24,071"
96,Colorado,Hinsdale,"$36,365 ","$56,667 ","$76,000 ",809,388
,Maryland,,"$36,354 ","$73,538 ","$88,738 ","5,834,299","2,146,240"
97,North Dakota,Divide,"$36,303 ","$55,057 ","$69,632 ","2,155","1,035"
98,Alaska,Anchorage,"$36,214 ","$77,454 ","$90,466 ","295,237","105,208"
99,Texas,Roberts,"$36,172 ","$67,321 ","$83,333 ","1,030",374
100,South Dakota,Union,"$36,167 ","$63,468 ","$74,758 ","14,575","5,758"
101,Maryland,Carroll,"$36,153 ","$84,790 ","$100,643 ","167,261","59,909"
102,Massachusetts,Barnstable,"$36,142 ","$60,526 ","$76,311 ","215,449","95,398"
103,Colorado,Jefferson,"$36,087 ","$68,984 ","$84,957 ","540,669","219,562"
104,Colorado,Elbert,"$36,077 ","$82,118 ","$89,653 ","23,295","8,240"
,New Jersey,,"$36,027 ","$71,629 ","$87,347 ","8,832,406","3,186,418"
105,Maryland,St. Mary's,"$36,017 ","$85,672 ","$95,186 ","107,079","37,589"
106,Wyoming,Sublette,"$35,944 ","$77,900 ","$85,885 ","10,178","3,502"
107,Iowa,Dallas,"$35,844 ","$73,847 ","$90,092 ","69,526","26,262"
108,Texas,Kendall,"$35,827 ","$73,410 ","$86,750 ","34,951","12,760"
,Massachusetts,,"$35,763 ","$66,866 ","$84,900 ","6,605,058","2,530,147"
109,California,Alameda,"$35,763 ","$72,112 ","$88,618 ","1,535,248","545,071"
110,Idaho,Blaine,"$35,524 ","$64,042 ","$76,575 ","21,294","9,207"
111,Minnesota,Scott,"$35,467 ","$86,112 ","$97,693 ","132,774","45,630"
112,Maryland,Harford,"$35,425 ","$80,622 ","$92,642 ","246,664","90,708"
113,Georgia,Fayette,"$35,344 ","$79,977 ","$91,574 ","107,105","37,930"
114,Alaska,Denali,"$35,295 ","$72,500 ","$99,091 ","2,020",716
115,Massachusetts,Plymouth,"$35,220 ","$75,092 ","$90,431 ","497,386","179,617"
116,New York,Saratoga,"$35,176 ","$69,826 ","$87,058 ","221,169","88,460"
117,Massachusetts,Essex,"$35,167 ","$67,311 ","$84,185 ","750,808","286,008"
118,Missouri,Platte,"$35,143 ","$67,721 ","$83,110 ","90,842","36,781"
119,New Jersey,Union,"$35,089 ","$68,507 ","$83,164 ","540,568","185,483"
120,California,Placer,"$34,886 ","$72,725 ","$87,352 ","355,924","132,709"
121,California,El Dorado,"$34,884 ","$69,297 ","$85,253 ","180,982","67,885"
122,Colorado,Routt,"$34,873 ","$62,002 ","$74,559 ","23,409","9,647"
123,South Dakota,Lincoln,"$34,839 ","$74,751 ","$85,666 ","46,693","17,250"
124,Minnesota,Dakota,"$34,828 ","$73,732 ","$88,889 ","402,306","154,275"
125,California,Napa,"$34,795 ","$70,443 ","$79,700 ","137,837","49,431"
126,Missouri,St. Louis County,"$34,795 ","$58,910 ","$75,532 ","999,725","403,293"
127,Connecticut,Hartford,"$34,698 ","$64,967 ","$81,805 ","895,827","347,874"
128,Texas,Rockwall,"$34,617 ","$86,119 ","$92,837 ","81,020","26,820"
129,New York,Rockland,"$34,591 ","$84,951 ","$99,649 ","315,069","98,326"
130,Georgia,Forsyth,"$34,582 ","$86,569 ","$99,573 ","182,916","58,080"
131,North Carolina,Orange,"$34,465 ","$55,569 ","$84,770 ","136,057","51,403"
132,Ohio,Geauga,"$34,455 ","$67,663 ","$81,952 ","93,610","34,621"
133,Connecticut,Tolland,"$34,392 ","$80,529 ","$95,996 ","152,366","54,327"
134,New Hampshire,Hillsborough,"$34,390 ","$69,829 ","$84,430 ","402,017","154,324"
135,Maryland,Baltimore County,"$34,374 ","$66,486 ","$81,116 ","812,261","313,912"
136,New Jersey,Middlesex,"$34,345 ","$79,596 ","$93,519 ","817,026","280,988"
137,Alaska,Yakutat,"$34,317 ","$72,500 ","$80,875 ",607,254
138,Virginia,King George,"$34,234 ","$81,753 ","$90,752 ","24,151","8,314"
139,Alaska,Petersburg Census Area,"$34,183 ","$63,934 ","$84,861 ","3,806","1,643"
140,Nevada,Douglas,"$34,123 ","$60,100 ","$67,597 ","47,035","19,455"
141,Texas,Fort Bend,"$34,084 ","$85,297 ","$94,931 ","608,939","191,406"
142,Minnesota,Olmsted,"$34,073 ","$66,252 ","$83,250 ","146,063","57,262"
143,Texas,Loving,"$34,068 ","$68,750 ","$88,438 ",87,33
144,California,Orange,"$34,057 ","$75,422 ","$84,765 ","3,051,771","995,512"
145,Florida,Martin,"$34,057 ","$49,846 ","$68,003 ","147,786","59,891"
146,Colorado,Summit,"$34,025 ","$63,697 ","$79,420 ","28,091","11,138"
147,Florida,Monroe,"$33,974 ","$53,607 ","$63,550 ","74,213","28,503"
148,Texas,Denton,"$33,855 ","$74,155 ","$90,086 ","687,857","243,394"
149,Wyoming,Campbell,"$33,850 ","$79,488 ","$84,746 ","46,901","17,108"
150,Rhode Island,Kent,"$33,814 ","$62,279 ","$80,038 ","165,628","68,880"
151,North Dakota,Mountrail,"$33,803 ","$68,722 ","$76,282 ","8,280","3,069"
152,Georgia,Oconee,"$33,801 ","$75,004 ","$82,625 ","33,240","11,485"
153,North Dakota,Dunn,"$33,788 ","$60,500 ","$76,346 ","3,786","1,438"
154,Connecticut,New London,"$33,782 ","$66,583 ","$82,076 ","274,090","107,066"
155,Wisconsin,Dane,"$33,712 ","$61,721 ","$83,509 ","496,762","206,982"
156,Texas,Midland,"$33,672 ","$62,993 ","$72,635 ","142,289","50,644"
157,Texas,Llano,"$33,634 ","$44,094 ","$60,285 ","19,223","8,519"
158,New York,Columbia,"$33,613 ","$57,336 ","$72,649 ","62,674","25,280"
159,New York,Dutchess,"$33,594 ","$72,525 ","$88,777 ","297,385","107,830"
160,Kentucky,Oldham,"$33,591 ","$83,391 ","$91,587 ","60,940","19,532"
161,New Jersey,Warren,"$33,555 ","$70,912 ","$85,091 ","108,150","41,463"
162,Virginia,Hanover,"$33,540 ","$75,070 ","$88,604 ","100,328","36,927"
,Virginia,,"$33,493 ","$63,907 ","$76,754 ","8,100,653","3,022,739"
163,Nevada,Storey,"$33,472 ","$61,573 ","$64,173 ","3,981","1,843"
164,Massachusetts,Dukes,"$33,363 ","$66,288 ","$82,452 ","16,739","5,891"
165,North Dakota,Towner,"$33,357 ","$55,521 ","$67,969 ","2,285","1,034"
166,Alabama,Shelby,"$33,313 ","$68,770 ","$82,558 ","198,366","74,144"
167,Vermont,Chittenden,"$33,281 ","$63,989 ","$83,887 ","157,637","62,587"
168,Colorado,Denver,"$33,251 ","$50,313 ","$63,705 ","619,297","266,069"
169,Michigan,Washtenaw,"$33,231 ","$59,055 ","$85,115 ","348,560","135,800"
170,Texas,Travis,"$33,206 ","$58,025 ","$73,951 ","1,063,248","411,876"
171,Pennsylvania,Delaware County,"$33,179 ","$64,041 ","$81,523 ","559,771","204,771"
172,Ohio,Warren,"$33,172 ","$72,487 ","$85,636 ","215,274","76,546"
173,Mississippi,Madison,"$33,170 ","$59,904 ","$73,775 ","97,151","36,342"
174,North Carolina,Wake,"$33,166 ","$66,006 ","$83,568 ","929,214","348,627"
175,Vermont,Grand Isle,"$33,159 ","$59,509 ","$69,722 ","6,984","3,023"
,New Hampshire,,"$33,134 ","$64,916 ","$79,886 ","1,319,171","518,245"
176,Virginia,Henrico,"$33,115 ","$61,048 ","$75,640 ","311,314","123,683"
177,North Dakota,McKenzie,"$33,078 ","$64,866 ","$77,366 ","7,377","2,666"
178,Georgia,Cobb,"$33,069 ","$63,920 ","$78,058 ","699,235","261,242"
179,North Dakota,Foster,"$33,063 ","$50,677 ","$68,547 ","3,355","1,555"
180,Montana,Madison,"$33,062 ","$47,762 ","$61,672 ","7,702","3,542"
181,Colorado,Ouray,"$33,015 ","$64,601 ","$72,229 ","4,475","1,943"
182,Texas,Comal,"$32,980 ","$65,839 ","$77,324 ","112,083","41,954"
183,New Jersey,Cape May,"$32,948 ","$56,494 ","$74,112 ","96,684","42,312"
184,California,Ventura,"$32,930 ","$76,544 ","$86,301 ","829,017","267,076"
185,Texas,Montgomery,"$32,911 ","$67,766 ","$79,541 ","472,162","163,462"
186,North Dakota,Burke,"$32,908 ","$53,693 ","$70,096 ","2,094","1,007"
187,Maryland,Worcester,"$32,887 ","$57,952 ","$68,840 ","51,479","20,530"
188,Maine,Cumberland,"$32,880 ","$57,461 ","$75,432 ","283,046","117,359"
189,North Dakota,Burleigh,"$32,876 ","$61,811 ","$82,235 ","83,906","34,703"
190,Minnesota,Cook,"$32,868 ","$52,215 ","$59,643 ","5,195","2,614"
191,Florida,Palm Beach,"$32,858 ","$52,432 ","$64,260 ","1,339,221","526,007"
192,California,Sonoma,"$32,835 ","$63,356 ","$75,896 ","487,469","185,660"
193,Massachusetts,Suffolk,"$32,835 ","$53,540 ","$61,449 ","735,701","288,240"
194,Oregon,Clackamas,"$32,781 ","$64,352 ","$76,549 ","380,532","146,527"
,Alaska,,"$32,651 ","$70,760 ","$82,870 ","720,316","251,899"
195,Kansas,Greeley,"$32,650 ","$52,847 ","$58,875 ","1,202",493
196,New Jersey,Hudson,"$32,641 ","$58,442 ","$62,168 ","644,605","243,875"
197,New Jersey,Gloucester,"$32,600 ","$74,524 ","$87,913 ","289,098","104,145"
198,Colorado,Arapahoe,"$32,595 ","$60,651 ","$73,649 ","585,333","225,552"
199,Alaska,Valdez-Cordova Census Area,"$32,579 ","$74,878 ","$88,480 ","9,682","3,424"
200,Virginia,Chesterfield,"$32,572 ","$72,088 ","$83,877 ","320,430","113,637"
201,Connecticut,New Haven,"$32,523 ","$61,996 ","$79,408 ","862,611","328,013"
202,Alaska,Sitka,"$32,521 ","$69,405 ","$78,000 ","8,945","3,554"
203,South Carolina,Beaufort,"$32,503 ","$57,316 ","$66,878 ","165,354","64,417"
204,Virginia,Botetourt,"$32,490 ","$65,935 ","$74,798 ","33,076","12,825"
205,North Carolina,Mecklenburg,"$32,482 ","$55,444 ","$68,083 ","947,135","366,689"
206,Delaware,New Castle,"$32,406 ","$64,537 ","$79,954 ","542,784","200,739"
,New York,,"$32,382 ","$58,003 ","$70,670 ","19,487,053","7,234,743"
207,California,Nevada County,"$32,346 ","$57,353 ","$70,148 ","98,509","40,991"
208,Maryland,Prince George's,"$32,344 ","$73,623 ","$84,808 ","873,481","303,441"
209,Illinois,McHenry,"$32,341 ","$76,145 ","$87,760 ","308,060","108,852"
210,New York,Albany,"$32,328 ","$59,394 ","$81,846 ","305,279","122,700"
211,Florida,Sarasota,"$32,313 ","$49,052 ","$61,339 ","383,094","170,555"
212,New Mexico,Santa Fe,"$32,298 ","$52,917 ","$64,737 ","145,400","61,012"
213,California,Santa Cruz,"$32,295 ","$66,519 ","$80,899 ","264,808","93,504"
214,North Dakota,Oliver,"$32,253 ","$71,250 ","$81,500 ","1,840",753
215,Wisconsin,St. Croix,"$32,220 ","$68,426 ","$80,740 ","84,912","32,114"
216,New Jersey,Essex,"$32,181 ","$55,095 ","$69,448 ","785,853","277,302"
217,Alaska,Fairbanks North Star,"$32,143 ","$69,223 ","$82,930 ","98,656","35,588"
218,Michigan,Livingston,"$32,129 ","$72,359 ","$82,959 ","182,402","67,691"
219,Virginia,New Kent,"$32,068 ","$70,618 ","$78,995 ","18,791","6,886"
220,North Dakota,Bowman,"$32,045 ","$56,964 ","$76,750 ","3,168","1,354"
221,Montana,Richland,"$32,036 ","$58,112 ","$72,115 ","10,318","4,270"
222,North Dakota,Cavalier,"$32,028 ","$55,904 ","$72,946 ","3,952","1,754"
223,Wisconsin,Washington County,"$32,020 ","$66,159 ","$79,911 ","132,186","52,053"
224,North Dakota,LaMoure,"$31,989 ","$53,691 ","$65,958 ","4,136","1,955"
225,North Dakota,Bottineau,"$31,969 ","$51,667 ","$71,217 ","6,529","3,028"
226,Virginia,Virginia Beach City,"$31,934 ","$65,219 ","$76,285 ","442,151","164,944"
227,Alabama,Madison,"$31,933 ","$58,434 ","$75,766 ","339,279","132,975"
228,New York,Richmond,"$31,823 ","$72,569 ","$86,133 ","470,223","164,609"
229,Pennsylvania,Cumberland,"$31,791 ","$60,826 ","$77,057 ","237,449","95,286"
230,Alaska,Aleutians West Census Area,"$31,790 ","$81,853 ","$87,159 ","5,538","1,033"
231,Iowa,Dickinson,"$31,790 ","$56,136 ","$64,798 ","16,818","7,981"
