Rank,State,County-equivalent,Per capita,Median,Median,Population,Number of
,,,income,household,family,,households
,,,,income,income,,
672,Kansas,Rawlins,"$26,897 ","$43,482 ","$55,551 ","2,545","1,224"
673,Missouri,Boone,"$26,895 ","$48,627 ","$70,096 ","165,776","65,649"
674,South Carolina,Lexington,"$26,886 ","$54,061 ","$66,099 ","266,575","103,742"
675,Minnesota,Kandiyohi,"$26,880 ","$50,149 ","$62,904 ","42,265","17,120"
676,Texas,Hays,"$26,873 ","$58,651 ","$75,729 ","164,144","56,459"
677,Florida,Santa Rosa,"$26,861 ","$57,703 ","$66,006 ","155,579","57,368"
678,Nebraska,Phelps,"$26,856 ","$50,000 ","$65,884 ","9,186","3,808"
679,Illinois,Stark,"$26,843 ","$54,203 ","$62,993 ","5,942","2,416"
680,Kansas,Sheridan,"$26,841 ","$48,674 ","$57,244 ","2,553","1,099"
681,North Carolina,Brunswick,"$26,839 ","$46,438 ","$54,220 ","110,324","47,600"
682,Minnesota,Marshall,"$26,834 ","$52,198 ","$65,057 ","9,454","4,080"
683,Texas,Carson,"$26,827 ","$65,026 ","$73,125 ","6,158","2,337"
684,Minnesota,McLeod,"$26,824 ","$55,170 ","$67,968 ","36,321","14,716"
,Maine,,"$26,824 ","$48,453 ","$61,107 ","1,328,320","553,823"
685,Texas,Armstrong,"$26,823 ","$61,635 ","$76,357 ","1,773",647
686,Texas,Dallas,"$26,816 ","$49,481 ","$55,113 ","2,412,481","858,332"
687,New Mexico,Bernalillo,"$26,814 ","$48,801 ","$60,740 ","667,092","263,135"
688,Ohio,Butler,"$26,813 ","$56,610 ","$69,799 ","369,650","134,612"
689,Kansas,Smith,"$26,811 ","$45,556 ","$51,914 ","3,790","1,726"
,Oregon,,"$26,809 ","$50,229 ","$61,609 ","3,868,721","1,516,456"
690,Wyoming,Niobrara,"$26,797 ","$38,438 ","$57,024 ","2,495","1,045"
691,Texas,Blanco,"$26,781 ","$49,487 ","$68,598 ","10,562","4,036"
692,Nebraska,Howard,"$26,770 ","$49,088 ","$65,039 ","6,308","2,576"
693,Minnesota,Lincoln,"$26,767 ","$47,861 ","$63,201 ","5,854","2,485"
694,Alabama,Baldwin,"$26,766 ","$50,221 ","$60,864 ","187,114","73,283"
695,Iowa,Jones,"$26,762 ","$55,041 ","$64,955 ","20,637","8,063"
696,Georgia,Coweta,"$26,757 ","$60,813 ","$70,163 ","129,397","46,912"
697,Louisiana,St. Charles,"$26,756 ","$58,758 ","$66,392 ","52,627","18,547"
698,Michigan,Macomb,"$26,748 ","$53,451 ","$66,612 ","845,197","332,818"
699,Iowa,Humboldt,"$26,746 ","$47,897 ","$62,143 ","9,776","4,222"
700,California,Sacramento,"$26,739 ","$55,064 ","$64,154 ","1,435,207","517,243"
701,Oregon,Benton,"$26,738 ","$48,604 ","$75,012 ","85,989","33,384"
702,Georgia,Glynn,"$26,724 ","$46,407 ","$56,221 ","80,280","31,547"
703,Pennsylvania,Berks,"$26,723 ","$55,170 ","$67,138 ","412,078","153,897"
704,Ohio,Licking,"$26,716 ","$55,114 ","$67,072 ","167,065","64,009"
705,Nebraska,Hamilton,"$26,715 ","$56,065 ","$61,786 ","9,090","3,488"
706,Arkansas,Benton,"$26,715 ","$54,515 ","$61,706 ","227,439","82,150"
707,Nebraska,Garden,"$26,715 ","$39,400 ","$52,083 ","1,966",836
708,Illinois,Bureau,"$26,705 ","$48,977 ","$60,525 ","34,594","13,998"
709,Illinois,DeWitt,"$26,704 ","$51,051 ","$64,446 ","16,511","6,802"
710,Colorado,Mesa,"$26,700 ","$49,471 ","$60,534 ","147,432","58,598"
711,Georgia,Pickens,"$26,686 ","$51,383 ","$59,623 ","29,486","11,083"
712,Minnesota,Nicollet,"$26,674 ","$60,115 ","$71,741 ","32,849","12,192"
713,Kentucky,Spencer,"$26,666 ","$65,209 ","$69,980 ","17,303","6,230"
714,Minnesota,Grant,"$26,665 ","$50,030 ","$61,455 ","5,990","2,580"
715,Virginia,Salem City,"$26,661 ","$48,733 ","$60,742 ","24,950","9,908"
716,Hawaii,Kauai,"$26,658 ","$62,052 ","$73,205 ","67,872","22,390"
717,South Carolina,Greenville,"$26,643 ","$49,022 ","$61,768 ","459,857","175,149"
718,Illinois,Ogle,"$26,635 ","$54,541 ","$69,172 ","53,092","20,745"
719,Texas,Reagan,"$26,633 ","$61,250 ","$65,600 ","3,441","1,178"
720,Wisconsin,Iowa County,"$26,625 ","$55,659 ","$70,079 ","23,709","9,610"
721,Iowa,Benton,"$26,624 ","$56,669 ","$69,676 ","25,971","10,079"
722,Illinois,Mercer,"$26,620 ","$53,136 ","$63,831 ","16,325","6,716"
723,Kansas,Ottawa,"$26,614 ","$58,396 ","$66,085 ","6,078","2,408"
724,Colorado,Garfield,"$26,603 ","$57,022 ","$66,941 ","56,687","20,163"
725,South Dakota,Jerauld,"$26,590 ","$46,591 ","$54,300 ","2,055",882
,Nevada,,"$26,589 ","$52,800 ","$61,359 ","2,730,066","999,016"
726,New York,Schoharie,"$26,584 ","$53,245 ","$65,610 ","32,404","12,820"
727,Michigan,Eaton,"$26,582 ","$54,115 ","$65,740 ","107,920","43,362"
728,New York,Essex,"$26,582 ","$47,380 ","$60,935 ","39,181","15,919"
729,Florida,Clay,"$26,577 ","$59,482 ","$68,078 ","192,665","67,805"
730,Minnesota,Brown,"$26,576 ","$48,256 ","$65,804 ","25,643","10,820"
731,Iowa,Cedar,"$26,567 ","$58,088 ","$66,176 ","18,452","7,665"
732,Oklahoma,Oklahoma County,"$26,561 ","$45,215 ","$58,240 ","732,118","285,320"
733,South Carolina,York,"$26,553 ","$53,740 ","$66,256 ","230,934","86,483"
734,Wyoming,Hot Springs,"$26,544 ","$42,019 ","$56,344 ","4,825","2,238"
735,North Carolina,Forsyth,"$26,541 ","$45,724 ","$59,764 ","354,656","140,439"
736,Alaska,Aleutians East,"$26,535 ","$61,250 ","$67,750 ","3,141",435
737,Maryland,Washington County,"$26,532 ","$55,609 ","$66,435 ","148,435","55,960"
738,Washington,Whatcom,"$26,530 ","$51,939 ","$68,159 ","203,211","79,314"
739,Minnesota,Crow Wing,"$26,527 ","$47,058 ","$57,958 ","62,742","26,963"
740,Texas,Panola,"$26,525 ","$52,453 ","$61,317 ","23,877","8,873"
741,Nevada,Humboldt,"$26,515 ","$59,472 ","$74,433 ","16,800","6,314"
742,Wisconsin,Kenosha,"$26,514 ","$54,930 ","$68,255 ","166,874","62,560"
743,South Dakota,McCook,"$26,505 ","$52,703 ","$66,106 ","5,605","2,186"
744,Louisiana,Orleans,"$26,500 ","$37,146 ","$46,512 ","357,013","148,398"
745,Pennsylvania,Lancaster,"$26,496 ","$56,483 ","$67,646 ","523,306","194,082"
746,New York,Queens,"$26,495 ","$57,001 ","$64,371 ","2,256,400","778,630"
747,Minnesota,Martin,"$26,472 ","$48,530 ","$61,233 ","20,634","8,797"
748,North Carolina,Iredell,"$26,467 ","$50,329 ","$60,413 ","161,297","59,468"
749,North Carolina,Guilford,"$26,461 ","$45,431 ","$58,551 ","495,326","196,463"
750,Iowa,Washington County,"$26,459 ","$54,554 ","$66,967 ","21,834","8,948"
751,Illinois,Rock Island,"$26,455 ","$48,702 ","$62,123 ","147,477","60,456"
752,Minnesota,Houston,"$26,450 ","$52,545 ","$65,646 ","18,915","7,809"
753,Texas,Coke,"$26,407 ","$40,795 ","$60,684 ","3,271","1,436"
754,Minnesota,Otter Tail,"$26,400 ","$48,961 ","$61,645 ","57,369","24,356"
755,Maryland,Dorchester,"$26,388 ","$46,361 ","$57,893 ","32,617","13,386"
756,Iowa,Shelby,"$26,387 ","$48,783 ","$62,273 ","12,088","5,083"
757,South Dakota,Minnehaha,"$26,380 ","$52,345 ","$66,555 ","173,108","67,623"
758,Virginia,Highland County,"$26,372 ","$49,625 ","$56,625 ","2,276","1,006"
759,Kansas,Grant,"$26,370 ","$53,213 ","$59,306 ","7,869","2,793"
760,Wisconsin,Fond du Lac,"$26,368 ","$53,820 ","$65,103 ","101,666","41,267"
761,Georgia,Lee,"$26,357 ","$60,104 ","$67,319 ","28,631","9,773"
762,Iowa,Sac,"$26,350 ","$48,093 ","$61,942 ","10,227","4,435"
763,Mississippi,Lamar,"$26,345 ","$51,154 ","$62,945 ","56,763","21,678"
764,Kansas,Douglas,"$26,342 ","$49,508 ","$70,955 ","112,210","43,398"
765,Wyoming,Platte,"$26,335 ","$45,512 ","$62,596 ","8,701","3,642"
766,Texas,Kerr,"$26,334 ","$43,601 ","$55,152 ","49,696","20,357"
767,Iowa,Cherokee,"$26,330 ","$48,977 ","$61,634 ","12,013","5,354"
768,Ohio,Wood,"$26,326 ","$52,069 ","$69,704 ","127,325","49,086"
769,Illinois,Washington County,"$26,325 ","$52,832 ","$64,959 ","14,626","5,882"
770,Georgia,Putnam,"$26,321 ","$44,764 ","$51,380 ","21,241","8,457"
771,North Carolina,Davie,"$26,319 ","$50,139 ","$58,530 ","41,339","16,234"
772,Kansas,Osborne,"$26,313 ","$37,925 ","$49,073 ","3,846","1,727"
773,Rhode Island,Providence,"$26,308 ","$49,297 ","$62,348 ","627,469","237,800"
774,Florida,Charlotte,"$26,286 ","$44,378 ","$53,586 ","161,276","70,545"
775,Kansas,Jefferson,"$26,280 ","$56,875 ","$67,439 ","18,971","7,421"
776,Montana,Granite,"$26,277 ","$45,236 ","$57,891 ","3,105","1,473"
777,Utah,Morgan,"$26,274 ","$80,337 ","$87,922 ","9,692","2,860"
778,Kansas,Scott,"$26,274 ","$50,605 ","$55,938 ","4,930","2,121"
779,Oregon,Columbia,"$26,271 ","$54,968 ","$63,435 ","49,333","19,069"
780,Wisconsin,La Crosse,"$26,271 ","$51,339 ","$69,606 ","115,420","45,949"
781,West Virginia,Berkeley,"$26,264 ","$53,515 ","$61,575 ","105,812","40,447"
782,Nevada,Carson City,"$26,264 ","$51,957 ","$63,883 ","54,821","21,186"
783,Iowa,Delaware County,"$26,261 ","$54,076 ","$68,096 ","17,665","7,129"
784,Pennsylvania,Beaver,"$26,258 ","$49,217 ","$62,792 ","170,382","70,867"
785,Iowa,Dubuque,"$26,254 ","$51,475 ","$66,046 ","94,411","37,366"
786,Wisconsin,Vilas,"$26,252 ","$40,833 ","$50,051 ","21,401","10,636"
787,Kentucky,Franklin,"$26,243 ","$46,071 ","$58,556 ","49,390","21,058"
,Florida,,"$26,236 ","$46,956 ","$56,738 ","19,091,156","7,158,980"
788,Illinois,St. Clair,"$26,234 ","$50,578 ","$63,373 ","268,939","102,885"
789,Kansas,Gove,"$26,233 ","$44,866 ","$51,939 ","2,835","1,201"
790,Illinois,Macon,"$26,232 ","$46,559 ","$59,733 ","110,262","45,142"
791,Kansas,Barber,"$26,229 ","$45,920 ","$56,048 ","4,898","2,187"
792,Kansas,Linn,"$26,224 ","$45,519 ","$52,761 ","9,580","4,234"
793,Nevada,Clark,"$26,217 ","$52,873 ","$60,666 ","1,976,925","710,058"
794,Kansas,Pratt,"$26,209 ","$46,035 ","$60,000 ","9,730","4,074"
795,Vermont,Rutland,"$26,205 ","$49,271 ","$61,516 ","61,270","25,754"
796,Iowa,Greene,"$26,205 ","$45,865 ","$57,150 ","9,255","3,969"
797,Virginia,Charles City County,"$26,198 ","$48,428 ","$58,893 ","7,205","2,850"
798,Florida,Leon,"$26,196 ","$46,369 ","$68,516 ","278,624","110,377"
799,South Dakota,Hyde,"$26,195 ","$47,813 ","$67,292 ","1,387",549
800,Nebraska,Lincoln,"$26,188 ","$48,158 ","$62,464 ","36,128","15,067"
801,Iowa,Worth,"$26,187 ","$50,476 ","$60,159 ","7,562","3,197"
802,Texas,Guadalupe,"$26,184 ","$61,958 ","$71,325 ","135,940","46,409"
803,Iowa,Harrison,"$26,184 ","$54,583 ","$67,468 ","14,729","5,996"
804,South Dakota,Potter,"$26,180 ","$44,556 ","$53,750 ","2,323","1,051"
805,Missouri,Cole,"$26,160 ","$53,931 ","$66,712 ","76,228","29,302"
806,North Carolina,Buncombe,"$26,159 ","$44,713 ","$56,616 ","241,801","100,838"
807,Florida,Duval,"$26,143 ","$48,323 ","$59,238 ","872,598","330,897"
808,Ohio,Hancock,"$26,139 ","$49,589 ","$64,032 ","75,239","30,610"
809,North Dakota,Ransom,"$26,137 ","$49,788 ","$66,076 ","5,472","2,283"
810,Ohio,Erie,"$26,135 ","$46,498 ","$60,856 ","76,634","31,972"
811,West Virginia,Ohio County,"$26,135 ","$41,025 ","$57,865 ","44,156","18,553"
812,Wisconsin,Sheboygan,"$26,126 ","$52,920 ","$65,968 ","115,235","46,312"
813,Montana,Dawson,"$26,126 ","$50,405 ","$63,551 ","9,132","3,885"
814,North Dakota,Golden Valley,"$26,113 ","$36,100 ","$64,821 ","1,698",754
815,South Dakota,Hutchinson,"$26,110 ","$42,451 ","$59,403 ","7,239","2,937"
816,Oklahoma,Beaver,"$26,109 ","$51,422 ","$60,483 ","5,605","2,108"
817,Utah,Salt Lake,"$26,103 ","$60,555 ","$70,215 ","1,048,314","344,089"
818,Iowa,Franklin,"$26,102 ","$48,355 ","$54,625 ","10,623","4,358"
819,Nebraska,Franklin,"$26,095 ","$43,011 ","$56,875 ","3,181","1,398"
820,Minnesota,Stearns,"$26,065 ","$54,551 ","$69,196 ","151,053","56,737"
821,Minnesota,Renville,"$26,062 ","$50,802 ","$58,599 ","15,499","6,400"
822,Missouri,Jackson,"$26,062 ","$47,015 ","$60,580 ","675,641","271,545"
823,Virginia,Winchester City,"$26,060 ","$44,200 ","$56,967 ","26,587","10,393"
824,Virginia,Nelson,"$26,059 ","$48,789 ","$59,191 ","14,940","6,404"
825,Kansas,Shawnee,"$26,057 ","$48,451 ","$63,230 ","178,378","72,584"
826,Pennsylvania,Perry,"$26,048 ","$57,375 ","$66,005 ","45,808","18,173"
,Ohio,,"$26,046 ","$48,308 ","$61,371 ","11,549,590","4,557,655"
827,Minnesota,Koochiching,"$26,045 ","$41,108 ","$56,065 ","13,251","6,134"
828,Utah,Davis,"$26,035 ","$69,707 ","$76,888 ","311,886","95,238"
829,Ohio,Lorain,"$26,030 ","$51,816 ","$63,212 ","301,720","116,705"
830,Minnesota,Lyon,"$26,028 ","$49,594 ","$70,016 ","25,703","10,083"
831,South Dakota,Hand,"$26,027 ","$47,679 ","$59,671 ","3,433","1,429"
832,Oklahoma,Woods,"$26,022 ","$51,619 ","$65,064 ","8,849","3,439"
,Texas,,"$26,019 ","$51,900 ","$61,066 ","25,639,373","8,886,471"
833,Minnesota,Big Stone,"$26,019 ","$46,313 ","$56,012 ","5,209","2,347"
834,Minnesota,Chippewa,"$25,993 ","$49,434 ","$64,608 ","12,272","5,093"
835,New York,Niagara,"$25,991 ","$47,955 ","$63,523 ","215,465","88,376"
836,Wisconsin,Sauk,"$25,988 ","$52,140 ","$65,561 ","62,353","25,206"
837,Iowa,Story,"$25,986 ","$50,516 ","$76,860 ","90,750","35,196"
838,Illinois,Marshall,"$25,975 ","$51,504 ","$62,827 ","12,454","5,021"
839,Iowa,Clinton,"$25,966 ","$49,559 ","$63,452 ","48,896","20,008"
840,Arkansas,Saline,"$25,962 ","$55,348 ","$66,936 ","109,844","41,287"
841,Wisconsin,Wood,"$25,961 ","$47,685 ","$60,258 ","74,469","32,037"
842,Kentucky,McCracken,"$25,957 ","$44,898 ","$57,709 ","65,610","27,037"
843,Wisconsin,Waupaca,"$25,956 ","$50,822 ","$61,581 ","52,300","21,388"
844,Wyoming,Carbon,"$25,947 ","$55,347 ","$65,402 ","15,809","6,077"
845,Minnesota,St. Louis County,"$25,946 ","$46,517 ","$63,168 ","200,327","85,238"
846,California,Tuolumne,"$25,943 ","$48,426 ","$59,152 ","54,728","22,025"
847,Wisconsin,Oconto,"$25,941 ","$51,615 ","$62,599 ","37,531","15,701"
848,Michigan,Monroe,"$25,939 ","$53,972 ","$65,363 ","151,408","58,702"
849,Colorado,Jackson,"$25,936 ","$43,606 ","$60,714 ","1,371",648
850,Georgia,Morgan,"$25,933 ","$47,729 ","$55,030 ","17,870","6,513"
851,Georgia,Gwinnett,"$25,932 ","$60,445 ","$66,432 ","825,911","266,952"
852,Montana,Garfield,"$25,921 ","$45,096 ","$59,423 ","1,145",465
853,South Dakota,Walworth,"$25,915 ","$41,826 ","$59,449 ","5,477","2,342"
854,California,San Benito,"$25,914 ","$66,237 ","$71,425 ","56,115","16,995"
855,Illinois,Henderson,"$25,902 ","$49,389 ","$60,066 ","7,186","3,202"
856,Nebraska,Wheeler,"$25,898 ","$38,807 ","$53,015 ",869,379
857,Washington,Chelan,"$25,893 ","$51,354 ","$61,230 ","73,047","27,220"
858,Michigan,Kent,"$25,889 ","$51,667 ","$63,176 ","609,544","229,373"
859,Illinois,Boone,"$25,888 ","$60,893 ","$67,049 ","54,068","17,938"
860,Texas,Austin,"$25,884 ","$53,265 ","$64,760 ","28,573","10,615"
861,Iowa,Ida,"$25,869 ","$43,449 ","$58,470 ","7,099","3,182"
862,Texas,Clay,"$25,867 ","$53,776 ","$66,788 ","10,651","4,216"
863,Washington,Clallam,"$25,865 ","$46,033 ","$59,169 ","71,731","30,814"
864,Nebraska,Otoe,"$25,855 ","$50,881 ","$63,841 ","15,727","6,438"
865,North Carolina,Currituck,"$25,854 ","$57,159 ","$66,626 ","23,880","9,121"
866,Iowa,Pottawattamie,"$25,847 ","$51,304 ","$63,669 ","92,962","36,460"
867,West Virginia,Monongalia,"$25,846 ","$44,173 ","$68,101 ","98,483","36,449"
868,Florida,Walton,"$25,845 ","$43,640 ","$56,484 ","56,590","22,639"
869,Wyoming,Lincoln,"$25,834 ","$64,205 ","$71,523 ","18,100","6,245"
870,Indiana,Brown,"$25,833 ","$51,568 ","$59,221 ","15,128","5,889"
871,Iowa,Wright,"$25,827 ","$45,205 ","$59,070 ","13,092","5,367"
872,Wisconsin,Manitowoc,"$25,825 ","$48,881 ","$63,889 ","81,098","34,067"
873,South Dakota,Sanborn,"$25,823 ","$48,384 ","$62,583 ","2,348","1,051"
874,Massachusetts,Hampden,"$25,817 ","$49,094 ","$61,474 ","465,144","177,990"
875,Washington,Lincoln,"$25,816 ","$47,195 ","$60,478 ","10,481","4,457"
876,Iowa,Hancock,"$25,814 ","$50,105 ","$60,921 ","11,243","4,648"
877,Nebraska,Banner,"$25,814 ","$36,875 ","$51,750 ",816,330
878,Kansas,Barton,"$25,800 ","$44,981 ","$56,250 ","27,602","11,491"
879,Minnesota,Polk,"$25,790 ","$50,695 ","$64,911 ","31,522","12,663"
880,Montana,Flathead,"$25,790 ","$46,581 ","$56,284 ","91,536","36,901"
881,Minnesota,Sibley,"$25,789 ","$54,017 ","$64,750 ","15,146","6,090"
882,Idaho,Valley,"$25,785 ","$50,473 ","$60,100 ","9,698","3,519"
883,Indiana,Morgan,"$25,781 ","$55,354 ","$63,148 ","69,217","25,621"
884,Utah,Wasatch,"$25,777 ","$65,050 ","$70,303 ","24,542","7,602"
885,South Dakota,Edmunds,"$25,775 ","$49,831 ","$65,179 ","4,051","1,589"
886,Oklahoma,Kingfisher,"$25,773 ","$54,666 ","$61,528 ","15,069","5,733"
887,Maine,Kennebec,"$25,770 ","$46,808 ","$59,915 ","121,757","51,719"
888,Iowa,Calhoun,"$25,766 ","$44,484 ","$55,234 ","9,952","4,356"
889,Montana,Missoula,"$25,764 ","$46,117 ","$62,988 ","110,243","45,523"
890,South Carolina,Richland,"$25,763 ","$48,359 ","$62,935 ","389,708","143,874"
891,Colorado,Custer,"$25,761 ","$32,427 ","$50,000 ","4,245","2,048"
892,Michigan,Kalamazoo,"$25,757 ","$45,775 ","$62,159 ","252,763","100,072"
893,South Dakota,Haakon,"$25,754 ","$47,198 ","$64,120 ","1,944",807
894,Wisconsin,Polk,"$25,751 ","$48,538 ","$58,842 ","43,905","18,266"
895,South Dakota,Perkins,"$25,751 ","$38,362 ","$56,429 ","2,943","1,364"
896,Minnesota,Swift,"$25,750 ","$48,026 ","$64,250 ","9,678","4,315"
897,Louisiana,Plaquemines,"$25,748 ","$55,138 ","$66,800 ","23,385","8,615"
898,Pennsylvania,Franklin,"$25,741 ","$52,637 ","$63,117 ","150,594","58,273"
,South Dakota,,"$25,740 ","$49,495 ","$63,195 ","825,198","323,136"
899,Nebraska,Cedar,"$25,738 ","$48,038 ","$58,542 ","8,790","3,529"
900,Minnesota,Waseca,"$25,723 ","$53,657 ","$66,173 ","19,046","7,328"
901,Virginia,Caroline,"$25,718 ","$57,218 ","$64,258 ","28,757","10,680"
902,Illinois,Champaign,"$25,713 ","$45,808 ","$69,554 ","202,428","79,137"
903,Illinois,LaSalle,"$25,709 ","$52,640 ","$64,693 ","113,295","44,257"
904,New York,Greene,"$25,700 ","$49,655 ","$60,571 ","48,928","18,365"
905,New Mexico,Harding,"$25,686 ","$34,063 ","$49,167 ",687,261
906,Montana,Valley,"$25,685 ","$47,181 ","$58,668 ","7,465","3,248"
,Michigan,,"$25,681 ","$48,411 ","$60,793 ","9,886,095","3,823,280"
907,Oregon,Clatsop,"$25,680 ","$44,683 ","$54,849 ","37,157","15,749"
908,North Carolina,Henderson,"$25,670 ","$44,815 ","$57,062 ","107,583","45,246"
909,Minnesota,Freeborn,"$25,668 ","$44,683 ","$58,220 ","31,129","13,230"
910,Minnesota,Meeker,"$25,665 ","$53,904 ","$63,881 ","23,197","9,288"
911,Texas,Wise,"$25,663 ","$56,005 ","$63,661 ","59,894","20,487"
912,Texas,Ellis,"$25,662 ","$61,952 ","$69,685 ","152,020","51,016"
913,Washington,Spokane,"$25,661 ","$49,233 ","$62,589 ","473,832","187,572"
914,Minnesota,Roseau,"$25,650 ","$50,759 ","$59,226 ","15,587","6,402"
915,Minnesota,Redwood,"$25,649 ","$47,447 ","$60,685 ","15,942","6,507"
,Missouri,,"$25,649 ","$47,380 ","$59,527 ","6,007,182","2,360,131"
916,Virginia,Rockbridge,"$25,638 ","$48,313 ","$59,165 ","22,345","9,234"
917,Kentucky,Jessamine,"$25,637 ","$49,024 ","$58,733 ","49,112","18,012"
918,Minnesota,Watonwan,"$25,635 ","$49,698 ","$61,064 ","11,173","4,445"
919,Texas,Smith,"$25,626 ","$47,432 ","$60,259 ","212,227","78,459"
920,Wisconsin,Jefferson,"$25,625 ","$53,454 ","$67,058 ","83,985","32,137"
921,North Carolina,Camden,"$25,620 ","$56,607 ","$70,025 ","10,037","3,580"
922,Oklahoma,Logan,"$25,620 ","$53,591 ","$66,917 ","42,871","14,927"
923,Kansas,Sedgwick,"$25,603 ","$49,865 ","$63,042 ","500,768","192,651"
924,Indiana,Newton,"$25,594 ","$50,262 ","$57,870 ","14,151","5,374"
925,Pennsylvania,Lackawanna,"$25,594 ","$46,044 ","$59,573 ","214,275","85,769"
926,Nebraska,Boone,"$25,590 ","$45,246 ","$59,278 ","5,441","2,242"
927,Indiana,Dubois,"$25,589 ","$54,780 ","$66,988 ","42,103","15,890"
928,South Dakota,Codington,"$25,582 ","$47,214 ","$63,037 ","27,439","11,566"
929,Nebraska,Adams,"$25,571 ","$49,440 ","$65,286 ","31,367","12,578"
930,Iowa,Adair,"$25,564 ","$47,892 ","$60,232 ","7,588","3,295"
931,Texas,Hardin,"$25,559 ","$53,013 ","$64,383 ","54,945","20,633"
932,Iowa,Pocahontas,"$25,556 ","$44,073 ","$56,607 ","7,243","3,227"
933,North Carolina,Lincoln,"$25,550 ","$48,940 ","$60,059 ","78,761","29,994"
934,Tennessee,Shelby,"$25,549 ","$46,250 ","$57,213 ","932,919","343,517"
935,Pennsylvania,Centre,"$25,545 ","$50,336 ","$70,654 ","154,460","57,197"
936,Kansas,Gray,"$25,537 ","$57,808 ","$63,875 ","6,012","2,066"
937,Kansas,Republic,"$25,531 ","$39,572 ","$52,944 ","4,919","2,274"
938,California,Alpine,"$25,527 ","$58,636 ","$76,645 ","1,165",394
939,Kentucky,Trigg,"$25,527 ","$45,629 ","$53,893 ","14,289","5,935"
940,Montana,Liberty,"$25,522 ","$44,493 ","$58,438 ","2,357",847
941,Virginia,Augusta,"$25,519 ","$52,027 ","$60,614 ","73,726","27,999"
942,Wyoming,Uinta,"$25,513 ","$58,515 ","$73,060 ","21,040","7,290"
943,Pennsylvania,Monroe,"$25,494 ","$57,408 ","$65,433 ","168,947","58,875"
70%,,,"$25,490 ",,,,
944,Minnesota,Isanti,"$25,482 ","$57,353 ","$68,053 ","38,078","13,860"
945,Ohio,Putnam,"$25,481 ","$61,192 ","$72,075 ","34,339","13,022"
946,Iowa,Marion,"$25,477 ","$54,723 ","$69,241 ","33,318","12,691"
947,Colorado,Weld,"$25,468 ","$57,180 ","$66,840 ","258,780","90,465"
948,Illinois,Jersey,"$25,467 ","$53,954 ","$63,789 ","22,850","8,752"
949,Nebraska,Fillmore,"$25,460 ","$48,464 ","$60,897 ","5,818","2,444"
950,Minnesota,Becker,"$25,455 ","$50,214 ","$59,844 ","32,800","13,476"
951,New Mexico,Lincoln,"$25,449 ","$43,014 ","$49,213 ","20,359","8,685"
952,Illinois,Ford,"$25,448 ","$48,866 ","$60,799 ","13,991","5,651"
953,Iowa,Cass,"$25,448 ","$43,481 ","$52,403 ","13,793","6,081"
954,Indiana,Ohio County,"$25,443 ","$50,377 ","$59,539 ","6,075","2,422"
955,Texas,Shackelford,"$25,436 ","$47,277 ","$56,875 ","3,362","1,445"
956,Iowa,Carroll,"$25,430 ","$48,361 ","$64,495 ","20,732","8,626"
957,Kansas,Wallace,"$25,429 ","$47,454 ","$59,038 ","1,568",611
958,North Dakota,McIntosh,"$25,427 ","$36,066 ","$50,887 ","2,791","1,308"
959,Nebraska,Pawnee,"$25,426 ","$37,321 ","$49,191 ","2,759","1,314"
960,Illinois,Lee,"$25,409 ","$50,060 ","$62,194 ","35,535","13,504"
961,South Dakota,Turner,"$25,406 ","$51,925 ","$62,026 ","8,344","3,461"
962,New York,Genesee,"$25,403 ","$49,922 ","$62,864 ","59,872","23,884"
963,Kansas,Clark,"$25,385 ","$41,129 ","$52,083 ","2,188",932
964,Minnesota,Blue Earth,"$25,380 ","$49,935 ","$68,864 ","64,504","24,476"
965,Maryland,Wicomico,"$25,378 ","$51,092 ","$59,379 ","99,683","36,405"
966,Wisconsin,Bayfield,"$25,377 ","$44,944 ","$55,654 ","15,071","6,964"
967,South Dakota,Meade,"$25,375 ","$49,324 ","$58,193 ","25,914","10,083"
968,Illinois,White,"$25,375 ","$42,914 ","$56,110 ","14,630","6,240"
,Montana,,"$25,373 ","$46,230 ","$59,743 ","998,554","405,525"
969,Michigan,Ottawa,"$25,371 ","$56,453 ","$67,166 ","267,017","94,666"
970,New York,Steuben,"$25,371 ","$47,476 ","$56,903 ","98,951","41,503"
971,Minnesota,Rice,"$25,370 ","$59,915 ","$72,133 ","64,585","22,299"
972,Ohio,Miami,"$25,369 ","$52,040 ","$61,644 ","102,867","41,239"
973,Tennessee,Decatur,"$25,368 ","$36,258 ","$46,973 ","11,695","5,066"
974,Texas,Bandera,"$25,364 ","$49,215 ","$63,387 ","20,533","8,405"
,Arizona,,"$25,358 ","$49,774 ","$58,897 ","6,479,703","2,370,289"
975,Tennessee,Washington County,"$25,355 ","$42,075 ","$52,949 ","123,891","51,771"
976,Nebraska,McPherson,"$25,339 ","$54,926 ","$57,981 ",382,169
977,Ohio,Portage,"$25,332 ","$52,697 ","$66,446 ","163,387","60,992"
978,New York,Chemung,"$25,329 ","$48,804 ","$60,715 ","88,876","35,622"
979,Kansas,Logan,"$25,328 ","$41,765 ","$59,412 ","2,775","1,282"
980,New York,Wayne,"$25,327 ","$52,601 ","$62,677 ","93,224","36,399"
981,Ohio,Auglaize,"$25,323 ","$52,239 ","$62,940 ","45,906","18,241"
982,Nebraska,Harlan,"$25,322 ","$45,920 ","$55,400 ","3,445","1,573"
