State,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Alabama,9.94626865671642,10.505970149253733,11.656716417910449,12.474626865671645,13.055223880597016,13.897014925373131,14.082089552238807,14.477611940298504,15.040298507462687,15.489552238805972
Alaska,5.366666666666667,5.766666666666667,5.716666666666666,6.166666666666667,6.45,6.933333333333334,7.283333333333334,6.783333333333332,6.816666666666667,6.7
Arizona,7.673333333333334,8.0,8.559999999999999,9.106666666666667,9.413333333333332,9.96,10.080000000000002,10.459999999999999,10.6,11.093333333333332
Arkansas,8.677333333333332,9.092000000000002,9.68,10.478666666666667,11.310666666666668,11.913333333333334,12.454666666666665,12.750666666666662,12.773333333333332,13.307999999999998
California,6.482758620689654,6.8913793103448295,7.1431034482758635,7.475862068965518,7.606896551724139,7.929310344827586,8.077586206896548,8.417241379310347,8.555172413793105,8.774137931034485
Colorado,4.798437500000001,4.8296874999999995,5.260937500000002,5.648437500000001,5.621874999999999,5.996875,6.306250000000002,6.679687499999999,6.5062500000000005,6.4828125
Connecticut,6.3125,6.662499999999999,7.187499999999999,7.2250000000000005,7.675,7.75,8.2875,8.525,8.562500000000002,8.475
Delaware,8.799999999999999,9.033333333333333,9.733333333333334,9.933333333333332,10.166666666666666,10.333333333333334,10.6,10.566666666666666,11.200000000000001,11.666666666666666
Florida,8.619402985074625,8.89402985074627,9.808955223880597,10.13731343283582,10.355223880597018,11.261194029850742,11.598507462686568,11.880597014925373,12.007462686567166,12.034328358208953
Georgia,9.117610062893082,9.946540880503145,11.044025157232705,11.599371069182391,11.709433962264157,11.801257861635222,12.350943396226413,12.428930817610063,12.44716981132076,12.686792452830188
Hawaii,7.960000000000001,8.42,8.46,8.72,8.600000000000001,8.24,9.16,8.959999999999999,8.86,8.760000000000002
Idaho,7.175000000000003,7.309090909090912,7.65909090909091,7.977272727272728,8.565909090909091,8.86590909090909,9.43181818181818,9.479545454545454,9.706818181818186,9.238636363636362
Illinois,7.264356435643563,7.877227722772275,8.5990099009901,8.915841584158418,8.80693069306931,9.055445544554457,9.666336633663366,10.285148514851485,10.696039603960394,10.502970297029707
Indiana,8.207608695652173,8.36739130434783,8.772826086956526,9.306521739130433,10.1,10.586956521739136,10.951086956521735,11.347826086956525,11.758695652173914,12.042391304347827
Iowa,7.558585858585856,7.904040404040407,8.026262626262625,8.218181818181817,8.397979797979799,8.751515151515152,9.18989898989899,9.856565656565655,10.353535353535351,10.27979797979798
Kansas,7.791428571428571,8.308571428571428,8.67619047619048,9.172380952380955,9.718095238095238,10.23714285714285,10.565714285714286,10.796190476190475,10.844761904761908,10.879047619047615
Kentucky,9.22521008403361,9.79327731092437,10.737815126050418,11.426050420168066,11.870588235294116,12.319327731092446,12.590756302521013,12.500000000000002,12.612605042016806,13.263865546218485
Louisiana,9.8,11.2,12.6,13.2,13.8,14.9,16.8,16.3,16.4,15.0
Maine,8.0375,7.756249999999999,8.068749999999998,8.38125,9.08125,9.6625,10.156249999999998,10.231250000000001,10.2625,10.19375
Maryland,7.695652173913045,8.043478260869565,8.678260869565216,9.339130434782607,9.873913043478261,10.173913043478262,10.182608695652174,10.382608695652175,10.578260869565218,11.008695652173914
Massachusetts,6.5857142857142845,6.878571428571428,7.635714285714286,7.978571428571428,8.307142857142859,8.514285714285714,8.628571428571428,8.507142857142856,8.628571428571428,9.057142857142855
Michigan,8.632530120481926,8.955421686746984,9.3144578313253,9.724096385542165,9.943373493975907,10.646987951807231,11.068674698795178,11.316867469879515,11.401204819277105,11.371084337349396
Minnesota,6.544186046511629,6.7523255813953496,6.826744186046508,7.161627906976744,7.5523255813953485,8.537209302325584,8.460465116279071,8.648837209302325,8.543023255813955,8.85232558139535
Mississippi,11.260975609756096,11.601219512195115,12.39878048780488,12.798780487804875,13.047560975609754,13.402439024390244,14.071951219512195,14.53048780487804,14.678048780487801,14.657317073170736
Missouri,8.702631578947368,8.715789473684211,8.76666666666667,9.157894736842104,9.538596491228073,10.34736842105263,10.903508771929825,11.520175438596489,11.615789473684213,11.460526315789473
Montana,6.880357142857143,7.296428571428572,7.612499999999998,8.094642857142857,8.055357142857144,8.394642857142859,8.585714285714285,8.860714285714286,8.914285714285715,9.341071428571428
Nebraska,7.924731182795695,8.060215053763436,8.427956989247313,8.71935483870968,8.998924731182791,9.293548387096777,9.498924731182795,9.474193548387099,9.716129032258065,9.829032258064515
Nevada,6.741176470588236,7.129411764705883,7.958823529411766,8.211764705882352,8.405882352941175,8.823529411764707,8.947058823529412,8.870588235294118,8.752941176470591,9.088235294117645
New Hampshire,6.789999999999999,7.4,7.69,8.11,8.14,8.680000000000001,8.95,9.4,9.620000000000001,9.879999999999999
New Jersey,7.295238095238096,7.633333333333334,8.09047619047619,8.447619047619046,8.69047619047619,8.890476190476189,9.047619047619047,9.29047619047619,9.31904761904762,9.504761904761905
New Mexico,6.390909090909092,6.848484848484849,6.884848484848486,6.851515151515153,7.242424242424242,7.872727272727273,8.660606060606058,9.07878787878788,9.193939393939395,9.254545454545454
New York,7.191935483870969,7.564516129032259,8.001612903225807,8.31774193548387,8.512903225806449,9.077419354838707,9.593548387096776,9.94677419354839,9.91451612903226,9.630645161290323
North Carolina,9.705,10.116,10.466999999999995,10.734000000000004,10.795999999999994,11.363,11.943000000000005,12.094999999999995,12.363999999999999,12.329000000000002
North Dakota,7.801886792452829,7.983018867924527,8.18301886792453,8.87924528301887,9.330188679245284,9.583018867924531,9.52830188679245,10.001886792452833,10.267924528301883,10.067924528301884
Ohio,8.554545454545455,8.448863636363638,9.627272727272727,10.255681818181813,10.69090909090909,10.988636363636363,11.155681818181817,11.687499999999998,11.984090909090908,12.430681818181817
Oklahoma,9.325974025974025,9.890909090909092,10.470129870129867,10.987012987012987,11.345454545454544,11.47792207792208,12.270129870129868,12.64935064935065,12.69350649350649,13.025974025974024
Oregon,7.572222222222221,7.722222222222222,7.947222222222221,8.2,8.58888888888889,8.933333333333334,9.555555555555555,9.719444444444443,10.233333333333336,10.48611111111111
Pennsylvania,8.320895522388062,8.704477611940302,8.801492537313433,9.238805970149258,9.482089552238806,10.446268656716416,10.635820895522388,10.991044776119407,10.897014925373135,11.282089552238803
Rhode Island,6.540000000000001,6.980000000000001,7.18,7.659999999999999,7.6,7.58,7.7,8.3,8.84,9.24
South Carolina,10.632608695652175,10.947826086956521,11.756521739130434,11.895652173913044,12.241304347826087,12.58695652173913,13.21739130434782,13.626086956521736,14.176086956521738,14.367391304347825
South Dakota,8.389230769230771,8.227692307692307,8.372307692307693,8.673846153846156,8.903076923076924,9.473846153846154,10.01230769230769,9.998461538461534,10.486153846153849,10.24769230769231
Tennessee,9.481052631578951,10.169473684210525,11.22315789473684,11.761052631578947,11.793684210526319,11.67684210526316,12.14526315789474,12.802105263157893,13.444210526315794,13.798947368421059
Texas,8.375196850393701,8.791732283464567,9.548031496062995,9.818110236220472,9.885039370078738,10.301968503937001,10.625984251968504,10.796062992125984,10.699606299212604,10.396062992125987
Utah,6.437931034482758,6.496551724137931,7.006896551724138,7.2379310344827585,7.548275862068965,7.675862068965517,7.820689655172413,8.120689655172411,8.286206896551723,8.313793103448274
Vermont,6.299999999999999,6.392857142857143,6.67857142857143,6.928571428571428,7.071428571428571,7.378571428571429,7.8500000000000005,8.028571428571428,8.135714285714284,8.085714285714285
Virginia,8.630526315789476,9.011578947368422,9.56421052631579,10.21789473684211,10.710526315789478,10.962105263157897,11.405263157894739,11.565263157894742,11.755789473684208,11.5178947368421
Washington,7.5128205128205146,7.802564102564103,8.099999999999996,8.476923076923075,8.733333333333333,9.294871794871794,9.684615384615386,9.756410256410259,9.884615384615383,10.14102564102564
West Virginia,10.767272727272726,11.674545454545457,11.947272727272727,12.379999999999999,12.656363636363634,13.09818181818182,13.236363636363635,13.25454545454545,13.498181818181822,13.943636363636365
Wisconsin,7.058333333333332,7.340277777777778,7.793055555555556,8.027777777777773,8.450000000000001,8.834722222222219,9.137500000000001,9.112500000000002,9.431944444444447,9.706944444444451
Wyoming,6.430434782608694,6.539130434782607,6.839130434782609,7.273913043478261,7.495652173913045,7.730434782608698,7.8,8.27391304347826,8.595652173913043,8.900000000000002
